GM,Glut4,HexA,M6PR,M6PR-HexA,RabA,RabB,RabC,RabD,RabE,Tf,area,chol,dextran,membraneMarker,mvb,proton,solubleMarker,vATPase,volume,
112973.05,40444.25,228832.75,1907.76,1121.77,0.05,2751.65,883.21,1303256.94,883.21,0.0,1308570.79,0.0,0.0,1.0,113.0,1296758.92,1.0,693775.41,1.4063413973E8,
43612.67,37803.4,231635.0,1835.5,1012.73,0.01,370.12,312.16,1329955.24,312.16,0.0,1331152.08,0.0,0.0,1.0,114.0,1413598.73,1.0,755610.64,1.4338402413E8,
16227.28,37660.66,235699.48,1865.78,971.7,0.01,132.33,129.36,1325633.79,129.36,0.0,1326125.54,0.0,0.0,1.0,115.0,1462619.15,1.0,752757.39,1.4340915687E8,
11875.53,36094.86,238076.89,1821.27,907.95,0.0,81.06,80.95,1328476.04,80.95,0.0,1328795.89,0.0,0.0,1.0,115.0,1498307.12,1.0,759610.57,1.4335908298E8,
3863.92,36094.86,241978.22,1857.43,871.79,0.0,71.91,71.91,1328507.85,71.91,0.0,1328795.89,0.0,0.0,1.0,115.0,1531393.17,1.0,759610.57,1.4335908298E8,
1180.63,36094.86,245830.38,1893.13,836.08,0.0,70.87,70.87,1328511.5,70.87,0.0,1328795.89,0.0,0.0,1.0,115.0,1557419.59,1.0,759610.57,1.4335908298E8,
340.2,35922.37,249354.93,1920.82,798.07,0.0,70.48,70.48,1323486.44,70.48,0.0,1323769.34,0.0,0.0,1.0,115.0,1576315.13,1.0,756737.13,1.4321575454E8,
93.78,35850.57,252432.38,1954.76,764.13,0.0,70.47,70.47,1323486.49,70.47,0.0,1323769.34,0.0,0.0,1.0,113.0,1588662.59,1.0,756737.13,1.4287928704E8,
24.78,35850.57,255983.62,1987.66,731.23,0.0,70.47,70.47,1323486.5,70.47,0.0,1323769.34,0.0,0.0,1.0,113.0,1601288.61,1.0,756737.13,1.4287928704E8,
6.31,35850.57,259413.95,2019.45,699.45,0.0,70.47,70.47,1323486.5,70.47,0.0,1323769.34,0.0,0.0,1.0,113.0,1611220.59,1.0,756737.13,1.4287928704E8,
1.55,35814.73,262409.38,2050.06,668.83,0.0,70.47,70.47,1323486.5,70.47,0.0,1323769.34,0.0,0.0,1.0,112.0,1617129.88,1.0,756737.13,1.4271130554E8,
0.37,35778.92,265269.36,2079.48,639.41,0.0,70.38,70.38,1323486.41,70.38,0.0,1323769.34,0.0,0.0,1.0,111.0,1621359.6,1.0,756737.13,1.4254349199E8,
0.09,35778.92,268309.68,2107.72,611.17,0.0,70.43,70.43,1323486.24,70.43,0.0,1323769.34,0.0,0.0,1.0,111.0,1626182.65,1.0,756737.13,1.4254349199E8,
0.02,35607.43,270951.93,2126.67,581.9,0.0,70.18,70.18,1318460.69,70.18,0.0,1318742.79,0.0,0.0,1.0,111.0,1628346.97,1.0,753863.69,1.4240097899E8,
0.0,35571.83,273416.02,2152.47,556.1,0.0,70.19,70.19,1318460.66,70.19,0.0,1318742.79,0.0,0.0,1.0,110.0,1629409.51,1.0,753863.69,1.4223347574E8,
0.0,35536.26,275752.86,2177.15,531.42,0.0,70.2,70.2,1318460.64,70.2,0.0,1318742.79,0.0,0.0,1.0,109.0,1629832.3,1.0,753863.69,1.4206613995E8,
0.0,35500.74,277966.52,2200.74,507.83,0.0,70.2,70.2,1318460.64,70.2,0.0,1318742.79,0.0,0.0,1.0,108.0,1629752.85,1.0,753863.69,1.4189897146E8,
0.0,35465.24,280061.34,2223.27,485.29,0.0,70.2,70.2,1318460.63,70.2,0.0,1318742.79,0.0,0.0,1.0,107.0,1629279.19,1.0,753863.69,1.4173197011E8,
0.0,35465.24,282374.24,2244.79,463.77,0.0,70.2,70.2,1318460.63,70.2,0.0,1318742.79,0.0,0.0,1.0,107.0,1630415.4,1.0,753863.69,1.4173197011E8,
0.0,35429.79,284247.3,2265.34,443.23,0.0,70.16,70.16,1318461.16,70.16,0.0,1318742.79,0.0,0.0,1.0,106.0,1629389.02,1.0,753863.69,1.4156513573E8,
15.85,37499.16,286088.19,2302.2,414.14,0.0,72.49,72.49,1315941.67,72.49,0.0,1316229.52,0.0,0.0,1.0,107.0,1632609.67,1.0,763812.19,1.4136983826E8,
4.03,36986.85,287166.87,2294.99,393.92,0.0,72.43,72.43,1316572.08,72.43,0.0,1316857.84,0.0,0.0,1.0,106.0,1635520.79,1.0,767960.63,1.412126241E8,
0.78,36986.85,289048.6,2312.54,376.37,0.0,70.15,70.15,1316578.17,70.15,0.0,1316857.84,0.0,0.0,1.0,106.0,1640991.3,1.0,767960.63,1.412126241E8,
