GalT,GalTRabA,GalTRabB,GalTRabC,GalTRabD,GalTRabE,L1,L1RabA,L1RabB,L1RabC,L1RabD,L1RabE,ProC,ProCRabA,ProCRabB,ProCRabC,ProCRabD,ProCRabE,TfR,TfRRabA,TfRRabB,TfRRabC,TfRRabD,TfRRabE,albumin,albuminRabA,albuminRabB,albuminRabC,albuminRabD,albuminRabE,chol,cholRabA,cholRabB,cholRabC,cholRabD,cholRabE,lipid,lipidRabA,lipidRabB,lipidRabC,lipidRabD,lipidRabE,membraneMarker,membraneMarkerRabA,membraneMarkerRabB,membraneMarkerRabC,membraneMarkerRabD,membraneMarkerRabE,mvb,mvbRabA,mvbRabB,mvbRabC,mvbRabD,mvbRabE,p75,p75RabA,p75RabB,p75RabC,p75RabD,p75RabE,proton,protonRabA,protonRabB,protonRabC,protonRabD,protonRabE,solubleMarker,solubleMarkerRabA,solubleMarkerRabB,solubleMarkerRabC,solubleMarkerRabD,solubleMarkerRabE,
0.0,173080.91,142026.39,121253.34,542607.29,26341.71,0.0,181859.83,99678.14,106958.16,557501.23,59312.29,0.0,2.057798529E7,1.074064287E7,1.125153779E7,2.196124321E7,2489234.12,0.0,180325.64,96517.98,101250.93,556170.02,71045.08,0.0,1.78256977E7,9590049.12,1.008212467E7,2.674795536E7,2774816.43,0.0,198971.93,115819.12,120983.06,532976.87,36558.67,0.0,205715.32,114654.24,122991.91,523960.04,37988.13,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180266.83,96575.53,101385.57,556097.68,70984.05,725.36,4213.28,3468.23,3733.67,5164.99,7925.38,0.0,0.31,0.16,0.17,0.33,0.04,
0.0,167946.35,189253.39,83172.93,541936.57,23000.41,0.0,182468.59,99640.52,106565.3,556930.4,59704.85,0.0,2.502721914E7,1.312646308E7,40518.17,2.578427492E7,3042167.97,0.0,180946.54,96143.06,105113.74,555599.18,67507.14,0.0,1.888881312E7,1.02440973E7,7465749.89,2.745347715E7,2968505.81,0.0,201166.32,117118.26,117266.63,529193.81,40564.62,0.0,208012.83,115882.98,120123.88,520075.37,41214.59,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180903.8,96130.56,105732.87,555526.84,67015.58,796.48,4433.76,3628.25,3144.9,5316.73,7981.9,0.0,0.37,0.2,0.0,0.38,0.05,
0.0,173188.09,191242.96,82415.01,535355.52,23108.06,0.0,185299.36,101321.71,106565.3,552418.43,59704.85,0.0,2.572832867E7,1.336901903E7,41653.24,2.475425144E7,3127390.9,0.0,183797.6,97819.14,105113.74,551072.03,67507.14,0.0,1.926865333E7,1.038323674E7,7467888.85,2.689245575E7,3008408.6,0.0,208059.36,124020.04,117273.59,514869.33,41087.33,0.0,214086.15,122558.73,120130.79,506800.45,41733.53,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,183734.58,97811.75,105732.87,551014.87,67015.58,1621.25,4500.6,3634.84,3170.64,5213.43,7986.03,0.0,0.38,0.2,0.0,0.37,0.05,
316.35,189070.09,197665.28,69415.68,512915.67,35926.58,501.11,191387.2,102079.73,103560.89,546117.36,61663.36,0.0,2.741812228E7,1.424707385E7,44388.95,2.197826548E7,3332792.71,501.11,189912.17,98790.74,99915.64,544770.48,71419.51,5515.16,2.019243553E7,1.084992037E7,6682341.16,2.547633935E7,3814091.7,325.8,227656.32,130733.92,104754.02,487907.8,53931.8,325.8,233587.56,129163.76,107679.39,479970.94,54582.2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,501.11,189884.2,98783.02,100027.23,544713.71,71400.38,2007.6,4653.9,3718.98,3361.31,4946.51,7824.84,0.0,0.41,0.21,0.0,0.33,0.05,
316.35,27338.86,506029.04,69494.12,385955.1,16176.18,501.11,191238.0,102123.43,104013.75,546281.62,61151.73,0.0,138755.15,233338.76,140002.37,5.599694761E7,1.051159939E7,501.11,189764.82,98814.23,100369.82,544935.5,70924.17,5515.16,1.375737538E7,7349337.22,6709385.55,3.351018281E7,5688847.16,325.8,393118.02,131212.14,104809.54,344198.23,31645.92,325.8,54025.6,473493.23,107737.02,337273.76,32454.25,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,501.11,189735.0,98826.72,100480.09,544877.97,70888.76,2045.88,3278.08,2971.86,3395.59,6652.94,8207.06,0.0,0.0,0.0,0.0,0.84,0.16,
316.35,28966.06,498993.53,75778.79,384405.14,16849.76,501.11,193401.21,106486.6,67391.67,541647.29,95881.77,0.0,238608.76,401258.42,240753.53,4.806386677E7,1.80761558E7,501.11,192011.74,103734.58,58001.6,530656.85,120403.76,5515.16,1.385617459E7,7470558.28,6858877.68,3.07671713E7,8062346.27,325.8,393505.65,130942.45,105086.19,343265.82,32183.73,325.8,54777.04,473727.54,107919.13,335541.82,33018.32,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,501.11,191831.55,103607.62,57848.04,540222.55,111298.78,2045.88,3281.6,2999.34,3447.91,6093.76,8682.93,0.0,0.0,0.01,0.0,0.72,0.27,
316.35,29645.75,498785.34,86379.41,373501.73,16681.06,501.11,191044.67,107810.9,65723.83,541010.12,99219.02,0.0,238608.76,401258.42,240753.53,4.806386677E7,1.80761558E7,501.11,189406.24,105156.22,56855.35,530267.36,123123.36,5515.16,1.379332305E7,7684861.5,6671980.55,3.070575954E7,8159203.49,325.8,392746.87,134507.17,105601.8,331633.23,40494.78,325.8,55328.49,477694.07,108111.71,322133.66,41715.93,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,501.11,189509.7,105021.1,56633.39,539553.03,114091.31,2319.19,3286.23,3041.43,3418.14,6084.96,8674.78,0.0,0.0,0.01,0.0,0.72,0.27,
316.35,29419.74,467491.59,121841.31,368176.47,18064.18,501.11,190744.14,100939.78,73261.8,535767.05,104095.76,0.0,238608.76,401258.42,240753.53,4.806386677E7,1.80761558E7,501.11,188109.25,96865.19,66330.41,526005.69,127498.01,5515.16,1.386156279E7,7556620.41,6566756.85,3.054550613E7,8484681.94,325.8,387610.33,136380.75,103398.68,331088.46,46505.62,325.8,50356.38,418058.63,159365.73,321775.72,55427.39,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,501.11,189200.63,96740.12,66152.37,534306.36,118409.06,2531.67,3288.04,2950.78,3491.24,6076.63,8698.86,0.0,0.0,0.01,0.0,0.72,0.27,
316.35,36520.35,565592.86,44345.94,348300.41,10233.74,501.11,191130.98,101006.1,81116.11,524429.38,107125.97,0.0,238608.76,401258.42,240753.53,4.806386677E7,1.80761558E7,501.11,188010.72,96431.46,75206.98,515089.05,130070.32,5515.16,1.332380995E7,7587039.51,6948674.85,3.058952366E7,8566080.15,325.8,363172.82,152035.34,115673.84,325946.16,48155.69,325.8,71532.37,373993.1,199666.55,302727.36,57064.47,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,501.11,189567.84,96298.33,75165.63,522925.81,120850.93,2531.67,3258.01,2972.71,3435.29,6125.84,8713.69,0.0,0.0,0.01,0.0,0.72,0.27,
316.35,60431.7,477478.05,101176.33,344585.9,21321.32,502.89,188683.4,110359.9,74550.04,520818.66,110394.77,0.0,238608.76,401258.42,240753.53,4.806386677E7,1.80761558E7,502.89,182947.06,106103.59,52890.33,514874.84,147990.94,5518.5,1.325989387E7,7996407.97,6555665.46,3.033772064E7,8865436.82,327.0,366271.76,161122.17,114312.38,313159.13,50117.19,327.0,90116.11,353152.05,203122.34,294537.76,64054.4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,502.89,187636.55,106576.69,52799.42,519226.07,138568.03,2538.11,3279.01,2991.79,3384.78,6081.07,8768.89,0.0,0.0,0.01,0.0,0.72,0.27,
